StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
IL,Chicago,1714000,17031640500,1714000-17031640500,"3,491",13.2,22,24.7,28.9,73.7,6.6,8.7,5.6,68.5,77.7,63.4,5.6,38.2,30.8,16,67.4,8.1,35.8,2.6,21.9,74.8,10.5,27.6,85.2,10.8,31.6,2.5,10.9,"(41.77568235530, -87.7909878603)"
IL,Chicago,1714000,17031640600,1714000-17031640600,"3,912",19.4,24.6,21.6,31.5,72.9,6.1,9.9,6.9,66.7,72.7,53.6,7.9,31.7,24,21.3,53.8,10.6,38,3.3,30,74,13.9,33.1,83.9,15,34.7,3.5,18.7,"(41.77603611160, -87.7714298211)"
IL,Chicago,1714000,17031640700,1714000-17031640700,"3,156",20.5,23,21.1,28.4,71.3,5.5,9.4,6.3,66.4,74.1,52.5,7,31.3,23.8,19.5,53.9,10.7,35.7,3.3,30,75.5,13.3,34,85.1,14.4,34.5,3.3,18,"(41.77641089680, -87.7519346620)"
IL,Chicago,1714000,17031640800,1714000-17031640800,"1,716",22.5,18.8,22.7,27.6,69.4,4.7,8.5,5.1,66,70.3,53.7,5.1,30.7,24.5,15.7,57.9,9.6,35.1,2.8,27.4,76.7,11.6,31.8,85,12.2,33.7,2.5,14.4,"(41.77482396680, -87.7397417663)"
IL,Chicago,1714000,17031650100,1714000-17031650100,"4,816",31.5,19,21.1,27.8,66.8,4,9.5,5.7,63.5,65.2,45.7,6.2,26.3,20.1,19.8,46,11.4,35.5,3.2,34.6,75.2,14.4,36.1,84.4,15.3,36.3,3,20.7,"(41.78237621150, -87.7178561732)"
IL,Chicago,1714000,17031650200,1714000-17031650200,"7,320",25.9,19.1,22.5,27.5,68.1,4.6,9.1,5.4,64.7,68.1,52.2,5.8,31.2,24,17.9,53.4,9.8,35.2,2.9,30,74.8,12.8,33,84.7,13.4,34.6,2.7,17.7,"(41.78222236390, -87.7302264516)"
IL,Chicago,1714000,17031650301,1714000-17031650301,"5,711",24.9,18.7,22.4,26.3,67.5,4.5,8.6,5.2,64.9,69.2,51.3,5.4,30.4,22.9,17,54,9.9,34.1,2.9,29.6,76.1,12.4,33.6,85.5,13,34.6,2.6,16.3,"(41.77492752560, -87.7299916303)"
IL,Chicago,1714000,17031650302,1714000-17031650302,"4,344",28.3,17.5,22.7,26,66.2,4,9.1,4.9,63.9,67.2,50.3,5.2,27.9,23.3,17.6,52,9.9,34,2.8,30.7,74.9,12.9,33.5,84.7,13.3,34.9,2.5,17,"(41.77509534600, -87.7177493334)"
IL,Chicago,1714000,17031650400,1714000-17031650400,"6,743",28.9,18.3,21.6,27,67.4,4.2,9.1,5.2,64.6,67.3,49,5.4,27.8,21.4,17.7,50.3,10.7,34.5,3,32.2,76.1,13.1,34.4,84.7,13.8,35.4,2.7,18.4,"(41.76532483170, -87.7171803437)"
IL,Chicago,1714000,17031650500,1714000-17031650500,"4,421",23.1,21,21.2,30.7,72.4,5.2,9.1,5.8,67.9,71.2,54.6,5.8,30.4,22.6,16.5,55,11,35.5,3.2,29.5,76.9,12,33.8,85.9,13.2,35.2,3.2,17.9,"(41.76225413420, -87.7320578497)"
IL,Chicago,1714000,17031660301,1714000-17031660301,"1,785",34.3,21.4,16.9,36.1,68,3.3,11.7,6.1,65.7,57.6,38.7,8.1,18.9,14.1,27.2,32,15.1,37.9,4.2,43.4,79.7,18.6,45.7,85.1,19.7,42.4,4.4,29.4,"(41.77995404930, -87.6982872346)"
IL,Chicago,1714000,17031660302,1714000-17031660302,"5,527",31.5,18,20.2,29.6,65.5,3.3,10.6,4.9,64.5,61.3,43.5,6.1,22.8,18.5,22.2,41.7,11.7,34.3,3.2,36.1,77.5,15.8,39.3,85.1,15.8,39.1,3.1,22.7,"(41.78359568690, -87.6983926256)"
IL,Chicago,1714000,17031660400,1714000-17031660400,"5,960",32,17.1,21.6,26.2,63.8,3.4,9.6,4.8,62.9,62.6,45.5,5.5,25.3,20.3,19.7,45.7,10.6,33.9,3,34.2,75.7,14.6,36.3,84.4,14.7,36.7,2.6,19.9,"(41.78253211200, -87.7080440756)"
IL,Chicago,1714000,17031660500,1714000-17031660500,"5,534",32.3,19.7,20.1,30.8,67.9,3.9,10.1,5.9,64.2,61.9,45.1,6.6,24.4,18.4,21.4,42.6,12.3,36.9,3.5,36.8,75.8,15.2,37.9,84.3,16.2,37.7,3.4,24.9,"(41.77524342570, -87.7079431912)"
IL,Chicago,1714000,17031660600,1714000-17031660600,"6,333",25.5,21.9,18.2,36,71,3.7,12.4,5.6,70.3,65.7,47.2,7.5,22.2,18.3,25.1,40.8,13.9,34.9,3.6,36.5,79.5,16.8,42.9,85.6,16.9,42.9,4.2,25.7,"(41.77728716050, -87.6933405804)"
IL,Chicago,1714000,17031660700,1714000-17031660700,"2,366",19.3,27.3,15.7,46.2,77.7,4.9,13.3,7.2,76.8,70.7,52.3,8.8,21.6,18.7,25.5,41.9,17.7,38.4,4.4,36.5,80.7,15.9,45.6,86.5,17.5,45.1,5.9,28.3,"(41.77384535870, -87.6810954614)"
IL,Chicago,1714000,17031660800,1714000-17031660800,"5,865",22.8,22.1,18.7,37.3,72.5,4.2,11.9,5.6,71.5,67.2,50.8,7,24.8,20.4,23.2,45,13.4,35.5,3.5,33.9,79.1,15.3,41.5,86.1,15.5,42.1,4,22.8,"(41.77364113240, -87.6932655435)"
IL,Chicago,1714000,17031660900,1714000-17031660900,"4,232",20,26.9,15.6,42.8,76.2,5,12.9,6.9,75.6,70.9,49.9,8.7,22.5,18.6,25.2,41.2,16.5,36.8,4.3,37,80.3,16.3,45.5,86.7,17.7,44.6,5.6,27.8,"(41.76810406430, -87.6979986989)"
IL,Chicago,1714000,17031661000,1714000-17031661000,"5,706",17.1,26.1,16.2,42.1,77.6,5,12.6,6.3,76.9,74.3,54.9,7.6,24,20.2,22.4,46.9,16,35.7,4,33.4,81.5,14.6,43.7,86.9,15.7,43.6,5.1,23.5,"(41.76181853120, -87.6850445903)"
IL,Chicago,1714000,17031661100,1714000-17031661100,"6,542",22.8,20.9,19.9,34.1,71.6,4.2,10.8,5.2,69.9,69.2,51.5,6.2,26.7,20.8,21.1,48.6,12.1,34.5,3.2,32.2,79.3,14.1,39.3,86.1,14.5,40.2,3.5,20.7,"(41.76078735550, -87.7026881329)"
IL,Chicago,1714000,17031670100,1714000-17031670100,"1,516",18.2,26.6,16.2,46.9,77.7,5,13.3,6.9,77.1,69.9,52.6,8.2,23,19.7,24.5,44.3,16.8,38.5,4.2,34.7,80.5,15.6,44.6,86.5,16.7,45,5.6,27.2,"(41.79049374100, -87.6572083532)"
